BME,N,4456,*,A,DNEXʡ,MYR,0.275,0.275,0.285,0.275,4509500,0.275,0.28,1652500,0.28,100,0.005,1.82,6519700,R,0.28
BME,N,8419,,A,PANSARʡ,MYR,0.545,0.55,0.59,0.55,214400,0.585,0.59,48400,0.59,1000,0.045,8.26,6444900,R,0.59
BME,N,82,*,A,GPACKET,MYR,0.695,0.7,0.71,0.69,1110000,0.69,0.695,25400,0.695,10000,0,0,6420400,R,0.695
BME,N,4197,*,AC,SIMEʡ,MYR,2.3,2.29,2.34,2.29,26100,2.31,2.32,535300,2.31,26400,0.01,0.43,6132900,R,2.31
BME,N,5199,*,A,HIBISCSʡ,MYR,0.96,0.965,0.965,0.945,121500,0.945,0.95,280000,0.945,4200,-0.015,-1.56,6060900,R,0.945
BME,N,5176,*,A,SUNREIT,MYR,1.9,1.91,1.91,1.88,309800,1.88,1.89,2223200,1.89,4000,-0.01,-0.53,6024300,R,1.89
BME,N,5253,*,A,ECONBHDʡ,MYR,0.745,0.745,0.765,0.745,64100,0.75,0.755,84400,0.75,4700,0.005,0.67,6024200,R,0.75
BME,N,1589,*,A,IWCITYʡ,MYR,0.87,0.875,0.88,0.865,320000,0.87,0.875,75500,0.875,20000,0.005,0.57,5947400,R,0.875
BME,N,1651,*,A,MRCBʡ,MYR,0.735,0.735,0.745,0.73,503200,0.74,0.745,189700,0.74,25000,0.005,0.68,5732800,R,0.74
BME,N,5256,*,A,REACHʡ,MYR,0.22,0.22,0.22,0.205,2455700,0.21,0.215,1632800,0.215,2000,-0.005,-2.27,5581800,R,0.215
BME,N,9679WE,,A,WCT-WEʡ,MYR,0.07,0.07,0.07,0.06,674800,0.06,0.065,1427600,0.06,23200,-0.01,-14.29,5578700,R,0.06
BME,N,166,*,AX,INARIʡ,MYR,1.78,1.77,1.78,1.76,43000,1.77,1.78,1664200,1.78,4500,0,0,5485400,R,1.78
BME,N,5216WA,,A,DSONIC-WAʡ,MYR,0.45,0.45,0.45,0.43,144300,0.44,0.445,156800,0.44,5000,-0.01,-2.22,5358100,R,0.44
BME,N,5288,*,AC,SIMEPROPʡ,MYR,0.86,0.865,0.865,0.85,166500,0.855,0.86,729300,0.86,300,0,0,5200500,R,0.86
BME,N,6947,*,A,DIGIʡ,MYR,4.72,4.7,4.73,4.69,65900,4.69,4.72,10600,4.69,2000,-0.03,-0.64,5187400,R,4.69
BME,N,8206,*,A,ECOWLDʡ,MYR,0.67,0.66,0.66,0.645,462100,0.655,0.66,197200,0.66,200,-0.01,-1.49,5181000,R,0.66
BME,N,65,*,A,EFORCEʡ,MYR,0.66,0.66,0.67,0.655,160000,0.66,0.665,110600,0.665,5000,0.005,0.76,5121300,R,0.665
BME,N,1295,*,A,PBBANK,MYR,20.14,20.24,20.24,20.1,127400,20.1,20.14,606800,20.1,200,-0.04,-0.2,5003800,R,20.1
BME,N,1619,*,AC,DRBHCOMʡ,MYR,2.42,2.42,2.42,2.38,10000,2.4,2.41,38200,2.41,500,-0.01,-0.41,4966100,R,2.41
BME,N,4456WD,,A,DNEX-WDʡ,MYR,0.065,0.065,0.065,0.06,8176600,0.06,0.065,2111700,0.065,10000,0,0,4800300,R,0.065
BME,N,7073,*,A,SEACERAʡ,MYR,0.19,0.19,0.2,0.19,270300,0.195,0.2,1384000,0.195,10000,0.005,2.63,4714500,R,0.195
BME,N,5040,*,A,MERIDIANʡ,MYR,0.07,0.07,0.075,0.065,3264500,0.07,0.075,4892000,0.075,30000,0.005,7.14,4679800,R,0.075
BME,N,3395,*,A,BJCORP,MYR,0.26,0.255,0.26,0.255,25171500,0.255,0.26,8231200,0.26,32900,0,0,4641400,R,0.26
BME,N,78,*,A,GDEXʡ,MYR,0.285,0.28,0.29,0.28,21000,0.29,0.295,836600,0.29,14000,0.005,1.75,4587500,R,0.29
BME,N,5141,*,A,DAYANGʡ,MYR,1.59,1.59,1.59,1.56,486300,1.56,1.57,211000,1.57,5000,-0.02,-1.26,4562600,R,1.57
BME,N,128,,A,FRONTKNʡ,MYR,1.69,1.69,1.72,1.67,523000,1.68,1.69,779800,1.69,5000,0,0,4541800,R,1.69
BME,N,5878,*,AX,KPJʡ,MYR,0.89,0.895,0.905,0.89,255600,0.895,0.9,776800,0.9,56800,0.01,1.12,4531900,R,0.9
BME,N,9385,*,AC,LAYHONGʡ,MYR,0.44,0.44,0.445,0.435,501400,0.435,0.44,219400,0.44,4500,0,0,4487300,R,0.44
BME,N,5248,*,AC,BAUTOʡ,MYR,2.3,2.3,2.34,2.28,24900,2.29,2.31,20000,2.29,900,-0.01,-0.43,4460700,R,2.29
BME,N,7158,*,A,SCOMIʡ,MYR,0.085,0.085,0.085,0.075,10124500,0.075,0.08,779500,0.08,10000,-0.005,-5.88,4371400,R,0.08
BME,N,6888,*,A,AXIATAʡ,MYR,4.29,4.25,4.35,4.25,13500,4.32,4.33,228600,4.32,8300,0.03,0.7,4346000,R,4.32
BME,N,5099,*,A,AIRASIA,MYR,1.81,1.81,1.82,1.8,46200,1.81,1.82,104500,1.81,500,0,0,4328200,R,1.81
BME,N,7106,*,A,SUPERMXʡ,MYR,1.59,1.59,1.61,1.58,247700,1.58,1.59,92600,1.59,1000,0,0,4258400,R,1.59
BME,N,8664,*,A,SPSETIAʡ,MYR,1.46,1.45,1.47,1.44,207700,1.44,1.45,10000,1.44,6100,-0.02,-1.37,4087500,R,1.44
BME,N,0172WA,,A,OCK-WAʡ,MYR,0.11,0.11,0.115,0.105,1345100,0.105,0.11,713100,0.11,11200,0,0,4052800,R,0.11
BME,N,6068WA,,A,PCCS-WAʡ,MYR,0.145,0.15,0.165,0.15,1450000,0.16,0.165,376500,0.165,27600,0.02,13.79,4012000,R,0.165
BME,N,7247,*,AC,SCGMʡ,MYR,0.98,0.975,1.13,0.975,53500,1.09,1.1,337300,1.1,5000,0.12,12.24,3936000,R,1.1
BME,N,6068,*,A,PCCSʡ,MYR,0.41,0.415,0.42,0.395,455000,0.405,0.41,15300,0.405,5000,-0.005,-1.22,3862000,R,0.405
BME,N,172,*,A,OCKʡ,MYR,0.6,0.6,0.61,0.595,83000,0.6,0.605,192400,0.605,1600,0.005,0.83,3742900,R,0.605
BME,N,5246,*,A,WPRTSʡ,MYR,4.15,4.1,4.17,4.1,1685700,4.15,4.17,430100,4.17,27600,0.02,0.48,3691800,R,4.17
BME,N,192,*,A,INTAʡ,MYR,0.27,0.27,0.28,0.27,139100,0.28,0.285,554000,0.28,50000,0.01,3.7,3583200,R,0.28
BME,N,4863,*,A,TMʡ,MYR,3.48,3.5,3.5,3.45,640700,3.46,3.48,48400,3.46,300,-0.02,-0.57,3560700,R,3.46
BME,N,7154,*,A,CAELYʡ,MYR,0.45,0.45,0.52,0.45,85900,0.505,0.51,16700,0.505,2000,0.055,12.22,3502400,R,0.505
BME,N,3182,*,A,GENTING,MYR,5.94,5.97,5.98,5.86,7100,5.87,5.89,38400,5.89,1000,-0.05,-0.84,3421400,R,5.89
BME,N,5222,*,A,FGVʡ,MYR,0.915,0.92,0.93,0.915,621100,0.92,0.925,220100,0.92,4500,0.005,0.55,3402600,R,0.92
BME,N,5347,*,AC,TENAGAʡ,MYR,13.64,13.7,13.7,13.58,721400,13.62,13.64,101600,13.64,100000,0,0,3400800,R,13.64
BME,N,7160,*,A,PENTAʡ,MYR,4.27,4.28,4.4,4.22,2200,4.37,4.4,163800,4.4,1000,0.13,3.04,3296900,R,4.4
BME,N,5073,*,A,NAIMʡ,MYR,0.93,0.93,0.94,0.92,108900,0.92,0.925,37500,0.92,1000,-0.01,-1.08,3279900,R,0.92
BME,N,5211,*,AC,SUNWAYʡ,MYR,1.69,1.69,1.71,1.68,1005500,1.69,1.7,217800,1.69,6000,0,0,3204600,R,1.69
BME,N,4634,*,AC,POSʡ,MYR,1.67,1.69,1.77,1.67,173700,1.76,1.77,62800,1.77,5000,0.1,5.99,3128800,R,1.77
BME,N,4022,*,A,TADMAXʡ,MYR,0.275,0.275,0.285,0.275,2244100,0.275,0.28,408400,0.28,10000,0.005,1.82,3113000,R,0.28
BME,N,1066,*,AX,RHBBANK,MYR,5.65,5.67,5.67,5.6,10000,5.61,5.62,478500,5.62,21500,-0.03,-0.53,3005600,R,5.62
BME,N,2445,*,A,KLKʡ,MYR,23.1,22.72,23.12,22.6,1600,23.1,23.12,204900,23.12,1400,0.02,0.09,2964300,R,23.12
BME,N,5247,*,A,KAREX,MYR,0.45,0.445,0.455,0.44,1117500,0.44,0.445,81600,0.445,10000,-0.005,-1.11,2922900,R,0.445
BME,N,6637,*,A,PNEPCBʡ,MYR,0.535,0.54,0.54,0.54,345000,0.535,0.54,137200,0.54,3800,0.005,0.93,2870000,R,0.54
BME,N,5257,*,A,CARIMINʡ,MYR,1.01,1.03,1.03,1.02,143700,1.02,1.03,206600,1.02,50000,0.01,0.99,2800200,R,1.02
BME,N,1961,*,A,IOICORPʡ,MYR,4.38,4.36,4.42,4.32,5800,4.34,4.38,32200,4.35,2300,-0.03,-0.68,2764200,R,4.35
BME,N,5227,*,A,IGBREIT,MYR,2.01,2.01,2.02,1.99,318700,2,2.01,113000,2,42100,-0.01,-0.5,2705500,R,2
BME,N,7158WB,,A,SCOMI-WBʡ,MYR,0.035,0.035,0.035,0.025,14351800,0.025,0.03,922500,0.025,45300,-0.01,-28.57,2688300,R,0.03
BME,N,5156WD,,A,XDL-WD,MYR,0.005,0.01,0.015,0.01,32110400,0.005,0.01,530200,0.01,13300,0.005,100,2599300,R,0.01
BME,N,90,,A,ELSOFTʡ,MYR,0.94,0.95,0.95,0.91,169300,0.91,0.915,2800,0.915,5000,-0.025,-2.66,2503800,R,0.915
BME,N,9113,*,A,ICONICʡ,MYR,0.32,0.315,0.315,0.305,1155000,0.305,0.31,172900,0.31,36800,-0.01,-3.13,2499500,R,0.31
BME,N,6139,*,A,TAKAFULʡ,MYR,5.9,5.9,5.93,5.88,130700,5.92,5.94,1000,5.92,500,0.02,0.34,2454900,R,5.92
BME,N,5077,*,A,MAYBULK,MYR,0.67,0.665,0.69,0.66,123800,0.69,0.695,193000,0.69,2000,0.02,2.99,2354800,R,0.69
BME,N,4219,*,A,BJLAND,MYR,0.19,0.19,0.195,0.185,2984800,0.185,0.195,1564700,0.195,1900,0.005,2.63,2322100,R,0.195
BME,N,185,*,A,HSSEBʡ,MYR,0.745,0.765,0.795,0.765,81100,0.765,0.77,463700,0.77,100,0.025,3.36,2237600,R,0.78
BME,N,7243,*,A,IMPIANAʡ,MYR,0.03,0.03,0.03,0.025,110431500,0.025,0.03,31318200,0.03,485200,0,0,2235100,R,0.03
BME,N,7181,*,A,ARBBʡ,MYR,0.315,0.315,0.32,0.31,1050100,0.31,0.315,485200,0.31,13200,-0.005,-1.59,2204500,R,0.31
BME,N,4677,*,AC,YTL,MYR,0.945,0.945,0.95,0.935,319500,0.94,0.945,192400,0.945,7600,0,0,2134100,R,0.945
BME,N,7155,*,AC,SKPRESʡ,MYR,1.05,1.05,1.05,1.03,138800,1.04,1.05,4200,1.04,20900,-0.01,-0.95,2120100,R,1.04
BME,N,6399,*,AC,ASTRO,MYR,1.41,1.41,1.43,1.41,234100,1.4,1.41,6800,1.41,18200,0,0,2105600,R,1.41
BME,N,7013,*,A,HUBLINEʡ,MYR,0.045,0.045,0.05,0.045,5468200,0.045,0.05,11624800,0.045,181800,0,0,2094100,R,0.045
BME,N,0078WB,,A,GDEX-WBʡ,MYR,0.03,0.025,0.03,0.025,343500,0.03,0.035,2042600,0.03,37900,0,0,2091300,R,-
BME,N,5398,*,A,GAMUDAʡ,MYR,3.55,3.54,3.58,3.54,174000,3.55,3.56,1051900,3.56,56000,0.01,0.28,2079400,R,3.56
BME,N,5219,*,A,PESTECHʡ,MYR,1.18,1.19,1.24,1.19,5000,1.21,1.22,311700,1.22,700,0.04,3.39,2079200,R,1.22
BME,N,5286,*,A,MIʡ,MYR,2.07,2.08,2.16,2.05,600,2.11,2.12,63600,2.12,3400,0.05,2.42,2031700,R,2.12
BME,N,2739,*,A,HUAANʡ,MYR,0.135,0.135,0.135,0.13,5726200,0.13,0.135,1973900,0.13,41000,-0.005,-3.7,2030000,R,0.13
BME,N,5225,*,A,IHHʡ,MYR,5.69,5.7,5.7,5.63,2900,5.67,5.7,2000,5.7,18900,0.01,0.18,2027500,R,5.7
BME,N,7153,*,A,KOSSANʡ,MYR,4.22,4.21,4.3,4.21,10500,4.23,4.24,71100,4.24,4800,0.02,0.47,2022600,R,4.24
BME,N,7029,*,A,MASTERʡ,MYR,1.38,1.38,1.39,1.33,16500,1.34,1.35,31200,1.34,5000,-0.04,-2.9,1958200,R,1.34
BME,N,3174,*,AC,L&Gʡ,MYR,0.155,0.16,0.16,0.155,1415700,0.155,0.16,4312200,0.16,1900,0.005,3.23,1928100,R,0.16
BME,N,8524,*,AC,TALIWRKʡ,MYR,0.925,0.925,0.925,0.915,185300,0.92,0.925,178900,0.92,80000,-0.005,-0.54,1915200,R,0.92
BME,N,7113,*,A,TOPGLOVʡ,MYR,4.75,4.7,4.75,4.7,29900,4.72,4.74,71000,4.73,100,-0.02,-0.42,1903700,R,4.73
BME,N,183,*,A,SALUTEʡ,MYR,0.65,0.645,0.66,0.645,600,0.65,0.655,144900,0.65,400,0,0,1866900,R,0.65
BME,N,7180,*,A,SERNKOUʡ,MYR,0.68,0.685,0.705,0.68,1500,0.7,0.71,69500,0.705,2000,0.025,3.68,1856400,R,0.705
BME,N,7181PA,,A,ARBB-PA,MYR,0.115,0.115,0.115,0.11,7600,0.11,0.115,343300,0.11,20000,-0.005,-4.35,1845300,R,0.11
BME,N,5249,*,A,IOIPGʡ,MYR,1.15,1.15,1.16,1.14,297500,1.14,1.15,62800,1.14,3300,-0.01,-0.87,1754700,R,1.14
